SubtitleIndex,OriginalWPM,OriginalCPM,OriginalRowCount,OriginalCharactersPerRow,TranslationWPM,TranslationCPM,TranslationRowCount,TranslationCharactersPerRow,isOriginalWPMGood,isOriginalCPSGood,isOriginalRowCountGood,isOriginalCharacterCountGood,isTranslationWPMGood,isTranslationCPSGood,isTranslationRowCountGood,isTranslationCharacterCountGood,isOriginalGoodWPM,isTranslationGoodWPM,isOriginalGoodCPS,isTranslationGoodCPS
454,127.932,7.463,1,14,127.932,8.529,1,16,True,True,True,True,True,True,True,True,True,True,True,True
455,208.897,18.182,2,47,208.897,22.437,2,58,False,False,True,True,False,False,True,True,False,False,False,False
456,130.814,11.628,1,16,130.814,9.448,1,13,True,True,True,True,True,True,True,True,True,True,True,True
457,205.656,16.281,1,19,154.242,16.281,1,19,False,True,True,True,False,True,True,True,False,False,True,True
458,258.993,20.144,2,42,230.216,20.144,2,42,False,False,True,True,False,False,True,True,False,False,False,False
459,231.839,19.32,1,25,139.104,13.91,1,18,False,False,True,True,True,True,True,True,False,True,False,True
460,118.477,10.719,1,38,84.626,9.873,1,35,True,True,True,False,True,True,True,True,False,True,False,True
461,145.349,11.87,2,49,116.279,9.448,2,39,True,True,True,False,True,True,True,True,False,True,False,True
462,147.692,12.308,2,20,147.692,12.923,2,21,True,True,True,True,True,True,True,True,True,True,True,True
463,96.0,9.6,1,12,144.0,18.4,1,23,True,True,True,True,True,False,True,True,True,True,True,False
464,59.94,3.996,1,4,59.94,2.997,1,3,True,True,True,True,True,True,True,True,True,True,True,True
465,126.939,11.989,1,17,211.566,18.336,1,26,True,True,True,True,False,False,True,True,True,False,True,False
466,218.182,19.636,1,27,130.909,13.091,1,18,False,False,True,True,True,True,True,True,False,True,False,True
467,229.995,21.083,2,44,172.496,17.729,2,37,False,False,True,True,False,False,True,True,False,False,False,False
468,119.76,7.984,1,8,119.76,9.98,1,10,True,True,True,True,True,True,True,True,True,True,True,True
469,192.0,20.8,1,26,192.0,12.8,1,16,False,False,True,True,False,True,True,True,False,False,False,True
470,102.784,10.278,1,24,77.088,8.137,1,19,True,True,True,True,True,True,True,True,True,True,True,True
471,172.579,15.34,1,16,115.053,10.547,1,11,True,True,True,True,True,True,True,True,True,True,True,True
472,212.348,18.482,2,47,188.753,16.516,2,42,False,False,True,True,False,True,True,True,False,False,False,True
473,60.0,5.0,1,5,60.0,5.0,1,5,True,True,True,True,True,True,True,True,True,True,True,True
474,143.885,13.189,1,33,119.904,11.99,1,30,True,True,True,True,True,True,True,True,True,True,True,True
475,195.324,18.053,2,61,159.811,18.053,2,61,False,False,True,False,False,False,True,True,False,False,False,False
476,162.162,13.514,1,40,141.892,13.176,2,39,True,True,True,False,True,True,True,True,False,True,False,True
477,198.511,17.094,2,62,181.969,17.921,2,65,False,False,True,True,False,False,True,True,False,False,False,False
478,134.831,14.981,1,20,134.831,11.236,1,15,True,True,True,True,True,True,True,True,True,True,True,True
479,187.696,18.422,2,53,208.551,18.77,2,54,False,False,True,True,False,False,True,True,False,False,False,False
480,153.332,14.35,2,73,129.742,14.94,3,76,True,True,True,False,True,True,False,True,False,False,False,False
481,203.284,19.807,2,76,156.372,18.504,2,71,False,False,True,False,False,False,True,True,False,False,False,False
482,232.019,18.561,1,24,185.615,19.335,1,25,False,False,True,True,False,False,True,True,False,False,False,False
483,126.939,10.931,1,31,148.096,14.457,2,41,True,True,True,True,True,True,True,True,True,True,True,True
484,60.0,3.0,1,3,60.0,2.0,1,2,True,True,True,True,True,True,True,True,True,True,True,True
485,261.628,21.439,2,59,196.221,19.622,2,54,False,False,True,True,False,False,True,True,False,False,False,False
486,166.013,13.373,2,58,138.344,12.22,2,53,True,True,True,True,True,True,True,True,True,True,True,True
487,210.526,18.129,1,31,245.614,21.053,1,36,False,False,True,True,False,False,True,True,False,False,False,False
488,299.7,22.977,2,46,299.7,24.476,2,49,False,False,True,True,False,False,True,True,False,False,False,False
489,49.587,4.132,1,5,49.587,2.479,1,3,True,True,True,True,True,True,True,True,True,True,True,True
490,113.906,10.441,1,44,99.668,11.391,2,48,True,True,True,False,True,True,True,True,False,True,False,True
491,119.76,9.98,1,10,59.88,6.986,1,7,True,True,True,True,True,True,True,True,True,True,True,True
492,274.938,21.854,2,62,190.342,19.387,2,55,False,False,True,True,False,False,True,True,False,False,False,False
493,205.62,15.079,1,22,123.372,10.966,1,16,False,True,True,True,True,True,True,True,False,True,True,True
494,228.883,20.708,1,38,163.488,19.619,1,36,False,False,True,False,False,False,True,True,False,False,False,False
495,201.439,21.103,2,44,172.662,11.031,1,23,False,False,True,True,False,True,True,True,False,False,False,True
496,298.373,21.248,2,47,216.998,18.083,2,40,False,False,True,True,False,False,True,True,False,False,False,False
497,176.431,15.155,2,67,217.145,17.643,3,78,True,True,True,False,False,False,False,True,False,False,False,False
498,226.986,20.807,1,33,189.155,15.132,1,24,False,False,True,True,False,True,True,True,False,False,False,True
499,221.198,21.659,2,47,221.198,16.59,1,36,False,False,True,True,False,True,True,True,False,False,False,True
500,213.333,16.0,1,18,106.667,14.222,1,16,False,True,True,True,True,True,True,True,False,True,True,True
501,269.596,22.966,2,46,179.73,16.975,1,34,False,False,True,True,False,True,True,True,False,False,False,True
502,287.671,19.863,1,29,205.479,18.493,1,27,False,False,True,True,False,False,True,True,False,False,False,False
503,84.656,8.113,1,23,63.492,7.407,1,21,True,True,True,True,True,True,True,True,True,True,True,True
504,164.496,9.596,1,14,123.372,10.281,1,15,True,True,True,True,True,True,True,True,True,True,True,True
505,239.787,17.318,1,39,186.501,17.318,2,39,False,False,True,False,False,False,True,True,False,False,False,False
506,136.986,11.986,2,42,102.74,8.562,1,30,True,True,True,True,True,True,True,True,True,True,True,True
507,205.479,16.553,1,29,136.986,14.84,1,26,False,True,True,True,True,True,True,True,False,True,True,True
508,151.451,16.407,1,39,151.451,12.2,1,29,True,True,True,False,False,True,True,True,False,False,False,True
509,19.704,1.642,1,5,39.409,4.598,1,14,True,True,True,True,True,True,True,True,True,True,True,True
510,235.849,17.689,2,45,188.679,15.723,2,40,False,False,True,False,False,True,True,True,False,False,False,True
511,240.0,20.0,1,30,240.0,15.333,1,23,False,False,True,True,False,True,True,True,False,False,False,True
512,225.67,19.746,2,42,141.044,17.395,2,37,False,False,True,True,True,False,True,True,False,True,False,False
513,134.882,11.99,1,32,112.402,11.615,1,31,True,True,True,True,True,True,True,True,True,True,True,True
514,287.707,24.847,2,57,261.552,26.591,2,61,False,False,True,True,False,False,True,True,False,False,False,False
515,156.413,17.727,1,34,187.696,20.334,2,39,True,False,True,True,False,False,True,True,True,False,False,False
516,163.488,13.624,2,50,114.441,12.262,2,45,True,True,True,True,True,True,True,True,True,True,True,True
517,59.88,8.982,1,9,59.88,4.99,1,5,True,True,True,True,True,True,True,True,True,True,True,True
518,100.883,7.146,1,17,100.883,10.509,1,25,True,True,True,True,True,True,True,True,True,True,True,True
519,84.626,8.463,1,18,84.626,11.754,1,25,True,True,True,True,True,True,True,True,True,True,True,True
520,194.175,14.563,1,27,129.45,12.406,1,23,False,True,True,True,True,True,True,True,False,True,True,True
521,237.885,21.145,2,48,185.022,17.621,2,40,False,False,True,True,False,False,True,True,False,False,False,False
522,208.897,16.634,2,43,208.897,27.466,3,71,False,True,True,True,False,False,False,True,False,False,True,False
523,336.868,28.696,2,46,224.579,23.082,2,37,False,False,True,True,False,False,True,True,False,False,False,False
524,334.495,27.875,2,40,250.871,25.087,2,36,False,False,True,True,False,False,True,True,False,False,False,False
525,259.039,25.364,2,47,194.28,21.047,2,39,False,False,True,True,False,False,True,True,False,False,False,False
526,310.296,24.918,2,53,282.087,24.918,2,53,False,False,True,True,False,False,True,True,False,False,False,False
527,323.16,26.032,2,58,242.37,28.725,2,64,False,False,True,True,False,False,True,True,False,False,False,False
528,179.91,14.993,2,40,112.444,12.369,2,33,True,True,True,True,True,True,True,True,True,True,True,True
529,189.274,17.035,1,27,113.565,11.987,1,19,False,False,True,True,True,True,True,True,False,True,False,True
530,269.3,25.135,2,56,215.44,23.339,2,52,False,False,True,False,False,False,True,True,False,False,False,False
531,141.044,14.575,2,62,141.044,13.869,2,59,True,True,True,True,True,True,True,True,True,True,True,True
532,70.522,5.877,1,25,42.313,6.347,1,27,True,True,True,True,True,True,True,True,True,True,True,True
533,246.575,21.233,1,31,246.575,24.658,1,36,False,False,True,True,False,False,True,True,False,False,False,False
534,133.854,16.732,1,30,167.317,20.078,1,36,True,True,True,True,False,False,True,True,True,False,True,False
535,199.734,16.644,1,25,159.787,12.65,1,19,False,True,True,True,False,True,True,True,False,False,True,True
536,272.953,22.746,2,55,148.883,18.197,2,44,False,False,True,True,True,False,True,True,False,True,False,False
537,194.301,17.487,1,27,155.44,16.839,1,26,False,False,True,True,False,True,True,True,False,False,False,True
538,233.161,17.487,1,27,233.161,19.43,1,30,False,False,True,True,False,False,True,True,False,False,False,False
539,179.82,15.984,1,32,59.94,10.49,1,21,True,True,True,True,True,True,True,True,True,True,True,True
540,316.816,24.777,2,61,243.704,23.152,2,57,False,False,True,True,False,False,True,True,False,False,False,False
541,213.144,22.202,1,25,213.144,19.538,1,22,False,False,True,True,False,False,True,True,False,False,False,False
542,261.533,17.072,2,47,196.15,14.166,2,39,False,False,True,True,False,True,True,True,False,False,False,True
543,308.395,22.273,1,39,171.331,12.564,1,22,False,False,True,False,False,True,True,True,False,False,False,True
544,174.292,15.251,1,21,174.292,14.524,1,20,True,True,True,True,False,True,True,True,True,False,True,True
545,244.648,22.936,2,45,214.067,19.368,2,38,False,False,True,True,False,False,True,True,False,False,False,False
546,123.33,10.62,1,31,102.775,10.963,1,32,True,True,True,True,True,True,True,True,True,True,True,True
547,227.177,21.035,2,50,151.451,18.931,2,45,False,False,True,True,False,False,True,True,False,False,False,False
548,239.68,21.305,1,32,199.734,17.31,1,26,False,False,True,True,False,False,True,True,False,False,False,False
549,148.883,11.166,2,27,173.697,13.648,2,33,True,True,True,True,False,True,True,True,True,False,True,True
550,112.835,9.403,2,20,112.835,10.343,2,22,True,True,True,True,True,True,True,True,True,True,True,True
551,60.0,5.0,1,5,60.0,5.0,1,5,True,True,True,True,True,True,True,True,True,True,True,True
552,287.597,19.772,1,33,287.597,26.962,2,45,False,False,True,True,False,False,True,True,False,False,False,False
553,228.717,24.989,2,59,228.717,17.789,2,42,False,False,True,True,False,False,True,True,False,False,False,False
554,106.477,11.535,1,13,106.477,11.535,1,13,True,True,True,True,True,True,True,True,True,True,True,True
555,205.597,17.704,2,62,154.198,13.706,2,48,False,False,True,True,False,True,True,True,False,False,False,True
556,99.256,8.271,1,10,99.256,7.444,1,9,True,True,True,True,True,True,True,True,True,True,True,True
557,154.11,19.692,1,23,154.11,15.411,1,18,True,False,True,True,False,True,True,True,True,False,False,True
558,201.439,16.307,1,34,143.885,13.429,1,28,False,True,True,True,True,True,True,True,False,True,True,True
559,239.893,20.435,2,46,213.239,23.101,2,52,False,False,True,True,False,False,True,True,False,False,False,False
