SubtitleIndex,OriginalWPM,OriginalCPM,OriginalRowCount,OriginalCharactersPerRow,TranslationWPM,TranslationCPM,TranslationRowCount,TranslationCharactersPerRow,isOriginalWPMGood,isOriginalCPSGood,isOriginalRowCountGood,isOriginalCharacterCountGood,isTranslationWPMGood,isTranslationCPSGood,isTranslationRowCountGood,isTranslationCharacterCountGood,isOriginalGoodWPM,isTranslationGoodWPM,isOriginalGoodCPS,isTranslationGoodCPS
216,143.77,14.377,1,18,239.617,19.968,1,25,True,True,True,True,False,False,True,True,True,False,True,False
217,211.416,16.913,1,24,169.133,16.913,1,24,False,True,True,True,False,True,True,True,False,False,True,True
218,59.94,4.995,1,10,59.94,5.495,1,11,True,True,True,True,True,True,True,True,True,True,True,True
219,110.599,11.982,2,13,110.599,9.217,2,10,True,True,True,True,True,True,True,True,True,True,True,True
220,115.163,10.557,1,11,115.163,8.637,1,9,True,True,True,True,True,True,True,True,True,True,True,True
221,59.94,4.995,1,5,59.94,4.995,1,5,True,True,True,True,True,True,True,True,True,True,True,True
222,119.88,13.986,2,28,89.91,12.488,2,25,True,True,True,True,True,True,True,True,True,True,True,True
223,75.71,8.833,1,14,75.71,8.833,1,14,True,True,True,True,True,True,True,True,True,True,True,True
224,42.313,3.526,1,5,42.313,3.526,1,5,True,True,True,True,True,True,True,True,True,True,True,True
225,221.402,15.683,1,17,166.052,11.993,1,13,False,True,True,True,False,True,True,True,False,False,True,True
226,192.982,16.374,2,56,140.351,15.205,2,52,False,True,True,False,True,True,True,True,False,True,False,True
227,134.933,9.745,1,13,134.933,11.994,1,16,True,True,True,True,True,True,True,True,True,True,True,True
228,122.449,12.755,2,25,122.449,14.286,2,28,True,True,True,True,True,True,True,True,True,True,True,True
229,148.76,13.223,1,16,99.174,11.57,1,14,True,True,True,True,True,True,True,True,True,True,True,True
230,202.247,20.599,2,55,134.831,17.228,2,46,False,False,True,True,True,False,True,True,False,True,False,False
231,189.959,17.187,2,38,217.096,21.257,2,47,False,False,True,True,False,False,True,True,False,False,False,False
232,230.179,21.1,2,66,172.634,18.223,2,57,False,False,True,True,False,False,True,True,False,False,False,False
233,292.479,25.766,2,37,250.696,22.284,2,32,False,False,True,True,False,False,True,True,False,False,False,False
234,119.88,11.988,1,12,119.88,13.986,1,14,True,True,True,True,True,True,True,True,True,True,True,True
235,225.67,21.627,2,46,197.461,18.336,2,39,False,False,True,True,False,False,True,True,False,False,False,False
236,267.708,18.963,2,34,234.244,20.636,2,37,False,False,True,True,False,False,True,True,False,False,False,False
237,213.144,15.986,1,18,106.572,11.545,1,13,False,True,True,True,True,True,True,True,False,True,True,True
238,127.864,14.917,2,28,127.864,13.319,2,25,True,True,True,True,True,True,True,True,True,True,True,True
239,179.82,15.984,1,16,119.88,14.985,1,15,True,True,True,True,True,True,True,True,True,True,True,True
240,159.845,13.078,2,54,87.188,9.203,2,38,True,True,True,True,True,True,True,True,True,True,True,True
241,205.656,17.138,1,20,154.242,17.995,1,21,False,False,True,True,False,False,True,True,False,False,False,False
242,261.438,19.608,1,27,217.865,17.429,1,24,False,False,True,True,False,False,True,True,False,False,False,False
243,155.226,10.521,2,61,124.181,12.246,2,71,True,True,True,True,True,True,True,False,True,False,True,False
244,184.445,15.37,2,50,166.001,16.293,2,53,False,True,True,True,False,True,True,True,False,False,True,True
