SubtitleIndex,OriginalWPM,OriginalCPM,OriginalRowCount,OriginalCharactersPerRow,TranslationWPM,TranslationCPM,TranslationRowCount,TranslationCharactersPerRow,isOriginalWPMGood,isOriginalCPSGood,isOriginalRowCountGood,isOriginalCharacterCountGood,isTranslationWPMGood,isTranslationCPSGood,isTranslationRowCountGood,isTranslationCharacterCountGood,isOriginalGoodWPM,isTranslationGoodWPM,isOriginalGoodCPS,isTranslationGoodCPS
215,139.211,22.428,2,29,232.019,27.842,2,36,True,False,True,True,False,False,True,True,True,False,False,False
216,140.735,14.855,2,57,109.461,18.243,2,70,True,True,True,True,True,False,True,False,True,False,True,False
217,205.479,21.689,2,57,159.817,26.636,2,70,False,False,True,True,False,False,True,True,False,False,False,False
218,60.0,5.0,1,5,60.0,3.0,1,3,True,True,True,True,True,True,True,True,True,True,True,True
219,111.43,12.156,2,72,111.43,14.52,2,86,True,True,True,False,True,True,True,False,False,False,False,False
220,123.743,12.632,2,49,108.275,10.57,2,41,True,True,True,True,True,True,True,True,True,True,True,True
221,87.209,7.994,1,11,87.209,8.721,1,12,True,True,True,True,True,True,True,True,True,True,True,True
222,134.831,8.24,1,11,134.831,8.24,1,11,True,True,True,True,True,True,True,True,True,True,True,True
223,59.94,3.996,1,4,59.94,4.995,1,5,True,True,True,True,True,True,True,True,True,True,True,True
224,205.479,19.977,1,35,205.479,21.119,2,37,False,False,True,True,False,False,True,True,False,False,False,False
225,255.727,19.18,1,36,127.864,15.45,1,29,False,False,True,True,True,True,True,True,False,True,False,True
226,115.053,10.547,1,11,115.053,11.505,1,12,True,True,True,True,True,True,True,True,True,True,True,True
227,119.88,9.99,1,10,119.88,11.988,1,12,True,True,True,True,True,True,True,True,True,True,True,True
228,120.0,10.0,1,10,120.0,9.0,1,9,True,True,True,True,True,True,True,True,True,True,True,True
229,165.899,11.982,1,13,110.599,10.138,1,11,True,True,True,True,True,True,True,True,True,True,True,True
230,119.88,15.984,1,16,119.88,19.98,1,20,True,True,True,True,True,False,True,True,True,True,True,False
231,287.77,20.783,2,52,167.866,17.186,2,43,False,False,True,False,False,False,True,True,False,False,False,False
232,205.479,18.493,2,54,184.932,18.151,2,53,False,False,True,True,False,False,True,True,False,False,False,False
