SubtitleIndex,OriginalWPM,OriginalCPM,OriginalRowCount,OriginalCharactersPerRow,TranslationWPM,TranslationCPM,TranslationRowCount,TranslationCharactersPerRow,isOriginalWPMGood,isOriginalCPSGood,isOriginalRowCountGood,isOriginalCharacterCountGood,isTranslationWPMGood,isTranslationCPSGood,isTranslationRowCountGood,isTranslationCharacterCountGood,isOriginalGoodWPM,isTranslationGoodWPM,isOriginalGoodCPS,isTranslationGoodCPS
278,125.098,11.467,2,44,93.823,11.467,2,44,True,True,True,True,True,True,True,True,True,True,True,True
279,143.858,12.726,2,69,110.66,12.541,2,68,True,True,True,True,True,True,True,True,True,True,True,True
280,151.451,12.831,2,61,126.21,14.304,2,68,True,True,True,True,True,True,True,True,True,True,True,True
281,119.76,12.974,1,13,119.76,12.974,1,13,True,True,True,True,True,True,True,True,True,True,True,True
282,205.558,14.085,1,37,182.718,17.13,2,45,False,True,True,True,False,False,True,True,False,False,True,False
283,159.787,13.981,1,21,199.734,16.644,1,25,True,True,True,True,False,True,True,True,True,False,True,True
284,227.129,18.297,1,29,189.274,17.666,1,28,False,False,True,True,False,False,True,True,False,False,False,False
285,143.85,10.309,2,43,100.695,9.35,2,39,True,True,True,True,True,True,True,True,True,True,True,True
286,136.054,8.422,1,26,77.745,6.479,1,20,True,True,True,True,True,True,True,True,True,True,True,True
287,201.439,14.388,1,30,230.216,17.266,1,36,False,True,True,True,False,False,True,True,False,False,True,False
288,253.879,17.395,2,37,169.252,18.336,2,39,False,False,True,True,False,False,True,True,False,False,False,False
289,139.907,15.989,2,48,159.893,17.988,2,54,True,True,True,True,False,False,True,True,True,False,True,False
290,165.289,15.427,2,56,165.289,16.253,2,59,True,True,True,True,False,True,True,True,True,False,True,True
291,71.856,4.79,1,4,71.856,4.79,1,4,True,True,True,True,True,True,True,True,True,True,True,True
292,142.054,12.726,2,43,124.297,10.654,2,36,True,True,True,True,True,True,True,True,True,True,True,True
293,177.567,15.981,2,54,142.054,15.389,2,52,True,True,True,False,True,True,True,True,False,True,False,True
294,179.837,17.166,2,63,130.79,15.804,2,58,True,False,True,True,True,True,True,True,True,True,False,True
295,205.567,17.987,2,42,154.176,14.989,2,35,False,False,True,True,False,True,True,True,False,False,False,True
296,171.542,12.316,2,56,105.564,10.996,2,50,True,True,True,True,True,True,True,True,True,True,True,True
297,108.597,12.217,1,27,108.597,10.86,1,24,True,True,True,True,True,True,True,True,True,True,True,True
298,168.12,14.944,2,48,130.76,13.387,2,43,True,True,True,True,True,True,True,True,True,True,True,True
299,121.317,14.731,2,51,86.655,11.265,2,39,True,True,True,True,True,True,True,True,True,True,True,True
300,193.638,19.825,2,43,110.65,17.059,2,37,False,False,True,True,True,False,True,True,False,True,False,False
301,139.211,14.179,2,55,108.275,11.859,2,46,True,True,True,True,True,True,True,True,True,True,True,True
302,175.439,15.205,1,26,105.263,12.865,1,22,True,True,True,True,True,True,True,True,True,True,True,True
303,120.919,11.286,2,56,84.643,8.666,2,43,True,True,True,False,True,True,True,True,False,True,False,True
304,182.718,16.368,2,43,159.878,14.465,2,38,False,True,True,True,False,True,True,True,False,False,True,True
305,183.58,16.828,1,33,122.387,13.768,1,27,False,True,True,True,True,True,True,True,False,True,True,True
306,123.245,11.982,1,35,123.245,11.298,1,33,True,True,True,True,True,True,True,True,True,True,True,True
307,184.1,17.294,2,62,150.628,17.294,2,62,False,False,True,False,False,False,True,True,False,False,False,False
308,130.719,14.379,2,33,130.719,14.815,2,34,True,True,True,True,True,True,True,True,True,True,True,True
309,197.044,16.42,2,50,177.34,19.704,2,60,False,True,True,True,False,False,True,True,False,False,True,False
310,175.439,15.789,1,27,140.351,15.789,1,27,True,True,True,True,True,True,True,True,True,True,True,True
311,199.867,20.653,1,31,199.867,22.652,1,34,False,False,True,True,False,False,True,True,False,False,False,False
312,250.261,18.77,1,36,156.413,14.599,1,28,False,False,True,True,False,True,True,True,False,False,False,True
313,276.498,25.346,2,66,230.415,23.041,2,60,False,False,True,False,False,False,True,True,False,False,False,False
314,154.176,11.991,1,28,128.48,11.991,1,28,True,True,True,True,True,True,True,True,True,True,True,True
315,170.732,16.26,2,40,146.341,15.041,2,37,True,True,True,True,True,True,True,True,True,True,True,True
316,235.294,20.479,2,47,183.007,15.686,2,36,False,False,True,True,False,True,True,True,False,False,False,True
317,310.68,23.301,1,36,271.845,23.948,1,37,False,False,True,True,False,False,True,True,False,False,False,False
318,113.565,16.404,1,26,113.565,16.404,1,26,True,True,True,True,True,True,True,True,True,True,True,True
319,113.906,10.441,2,44,85.43,8.306,2,35,True,True,True,True,True,True,True,True,True,True,True,True
320,299.401,17.964,1,18,299.401,17.964,1,18,False,False,True,True,False,False,True,True,False,False,False,False
321,258.993,22.062,2,46,230.216,22.062,2,46,False,False,True,True,False,False,True,True,False,False,False,False
322,243.542,17.712,2,48,177.122,15.867,2,43,False,False,True,True,False,True,True,True,False,False,False,True
323,145.884,13.199,2,38,145.884,14.241,2,41,True,True,True,True,True,True,True,True,True,True,True,True
324,128.848,15.748,2,44,107.373,13.601,2,38,True,True,True,True,True,True,True,True,True,True,True,True
325,177.567,14.205,2,48,142.054,10.95,2,37,True,True,True,True,True,True,True,True,True,True,True,True
326,209.79,17.483,1,35,119.88,12.987,1,26,False,False,True,True,True,True,True,True,False,True,False,True
327,200.837,13.947,2,50,167.364,14.505,3,52,False,True,True,True,False,True,False,True,False,False,True,False
328,189.274,17.981,2,57,151.42,19.243,2,61,False,False,True,True,False,False,True,True,False,False,False,False
